k,auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat,selected_models
7,0.902256,0.932708,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.886591,0.922979,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.902256,0.933505,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.893484,0.929425,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.902256,0.930305,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.892231,0.924681,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.921679,0.944329,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.914787,0.937683,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.884712,0.915916,0.800000,0.802005,0.800000,0.842105,0.761905,0.842105,0.500000,32,6,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.914787,0.938930,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.908521,0.938297,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.920426,0.942222,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
8,0.914787,0.937496,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.902882,0.931441,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.902882,0.930256,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.900376,0.931406,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.907895,0.934031,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.887845,0.923585,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.908521,0.929875,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.901629,0.930131,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.897243,0.929148,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.886591,0.922313,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.902256,0.932938,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.896617,0.930445,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.898496,0.925957,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.890351,0.923608,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.916040,0.939192,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.912907,0.934821,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.884712,0.915216,0.787500,0.788847,0.790123,0.820513,0.761905,0.815789,0.500000,31,7,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.915414,0.938103,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.908521,0.937443,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
8,0.919799,0.941752,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16
9,0.914787,0.937496,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.902882,0.931441,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.902882,0.930256,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.900376,0.931406,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.907895,0.934031,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.887845,0.923585,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.908521,0.929875,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.901629,0.930131,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.897243,0.929148,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.886591,0.922313,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.902256,0.932938,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.896617,0.930445,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.898496,0.925957,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.890351,0.923608,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.914787,0.938487,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.912907,0.934821,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.882832,0.912739,0.787500,0.788847,0.790123,0.820513,0.761905,0.815789,0.500000,31,7,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.915414,0.938103,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.908521,0.937443,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
9,0.919799,0.941752,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1
10,0.914787,0.937496,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.896617,0.929243,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.899749,0.929116,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.895990,0.928695,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.904762,0.932718,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.886591,0.921488,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.906015,0.929400,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.901003,0.930165,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.893484,0.928416,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.886591,0.922215,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.902256,0.932938,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.892231,0.927851,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.898496,0.925957,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.890351,0.923564,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.914787,0.938487,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.912907,0.934821,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.882206,0.913296,0.787500,0.788847,0.790123,0.820513,0.761905,0.815789,0.500000,31,7,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.912907,0.937118,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.908521,0.937443,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
10,0.916040,0.940031,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2
11,0.911028,0.935588,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.895363,0.928468,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.897243,0.928257,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.896617,0.929736,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.902256,0.931406,0.812500,0.813910,0.814815,0.846154,0.785714,0.842105,0.500000,32,6,9,33,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.887218,0.922465,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.905388,0.928669,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.899749,0.930016,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.893484,0.928416,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.883459,0.920010,0.775000,0.774436,0.785714,0.785714,0.785714,0.763158,0.500000,29,9,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.902882,0.934024,0.787500,0.786341,0.800000,0.790698,0.809524,0.763158,0.500000,29,9,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.892231,0.927851,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.897870,0.924770,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.889724,0.922592,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.912281,0.936152,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.911654,0.934350,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.882832,0.914281,0.787500,0.788847,0.790123,0.820513,0.761905,0.815789,0.500000,31,7,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.911654,0.936138,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.907895,0.936756,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
11,0.916040,0.940027,0.825000,0.824561,0.833333,0.833333,0.833333,0.815789,0.500000,31,7,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14
