auc,auc_std,auc_ci95_low,auc_ci95_high,auprc,auprc_std,auprc_ci95_low,auprc_ci95_high,accuracy,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,f1,f1_std,f1_ci95_low,f1_ci95_high,precision,precision_std,precision_ci95_low,precision_ci95_high,recall,recall_std,recall_ci95_low,recall_ci95_high,specificity,specificity_std,specificity_ci95_low,specificity_ci95_high,tn,tn_std,tn_ci95_low,tn_ci95_high,fp,fp_std,fp_ci95_low,fp_ci95_high,fn,fn_std,fn_ci95_low,fn_ci95_high,tp,tp_std,tp_ci95_low,tp_ci95_high,threshold,cv_repeats,k,selected_models,meta_learner,transform,n_samples,n_features,cv_folds
0.894706,0.003827,0.893028,0.896383,0.922116,0.003526,0.920571,0.923662,0.799375,0.011088,0.794515,0.804235,0.799342,0.011125,0.794466,0.804218,0.807179,0.010940,0.802384,0.811973,0.814725,0.013294,0.808899,0.820552,0.800000,0.016204,0.792898,0.807102,0.798684,0.017653,0.790947,0.806421,30.350000,0.670820,30.056000,30.644000,7.650000,0.670820,7.356000,7.944000,8.400000,0.680557,8.101733,8.698267,33.600000,0.680557,33.301733,33.898267,0.500000,20,1,hoptimus1,elastic_net,rank,80,1,5
0.912531,0.004682,0.910479,0.914583,0.931375,0.003235,0.929957,0.932793,0.813125,0.006380,0.810329,0.815921,0.813064,0.006378,0.810269,0.815859,0.820613,0.006455,0.817784,0.823442,0.827214,0.008882,0.823321,0.831106,0.814286,0.012456,0.808827,0.819745,0.811842,0.012878,0.806198,0.817486,30.850000,0.489360,30.635528,31.064472,7.150000,0.489360,6.935528,7.364472,7.800000,0.523148,7.570720,8.029280,34.200000,0.523148,33.970720,34.429280,0.500000,20,2,hoptimus1;virchow,elastic_net,rank,80,2,5
0.917888,0.006532,0.915026,0.920751,0.939439,0.004632,0.937409,0.941469,0.823750,0.018540,0.815624,0.831876,0.824749,0.019009,0.816418,0.833081,0.827523,0.016786,0.820166,0.834880,0.851935,0.025261,0.840864,0.863006,0.804762,0.014657,0.798338,0.811186,0.844737,0.030665,0.831297,0.858177,32.100000,1.165287,31.589290,32.610710,5.900000,1.165287,5.389290,6.410710,8.200000,0.615587,7.930207,8.469793,33.800000,0.615587,33.530207,34.069793,0.500000,20,3,hoptimus1;virchow;hibou_l,elastic_net,rank,80,3,5
0.908835,0.007694,0.905463,0.912207,0.935217,0.005065,0.932998,0.937437,0.822500,0.017014,0.815043,0.829957,0.823496,0.017481,0.815835,0.831158,0.826292,0.015308,0.819583,0.833000,0.850635,0.023827,0.840192,0.861078,0.803571,0.013098,0.797831,0.809312,0.843421,0.028922,0.830745,0.856097,32.050000,1.099043,31.568323,32.531677,5.950000,1.099043,5.468323,6.431677,8.250000,0.550120,8.008899,8.491101,33.750000,0.550120,33.508899,33.991101,0.500000,20,4,hoptimus1;virchow;hibou_l;hoptimus0,elastic_net,rank,80,4,5
0.906422,0.010203,0.901950,0.910894,0.933801,0.006795,0.930823,0.936779,0.825625,0.012484,0.820154,0.831096,0.826472,0.012758,0.820881,0.832064,0.829802,0.011691,0.824678,0.834926,0.851384,0.017920,0.843530,0.859238,0.809524,0.013380,0.803660,0.815388,0.843421,0.021726,0.833899,0.852943,32.050000,0.825578,31.688175,32.411825,5.950000,0.825578,5.588175,6.311825,8.000000,0.561951,7.753714,8.246286,34.000000,0.561951,33.753714,34.246286,0.500000,20,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8,elastic_net,rank,80,5,5
0.904041,0.010686,0.899358,0.908725,0.932827,0.006833,0.929832,0.935822,0.825000,0.013451,0.819105,0.830895,0.825877,0.013680,0.819881,0.831873,0.829082,0.012767,0.823486,0.834677,0.851171,0.018220,0.843185,0.859156,0.808333,0.014400,0.802022,0.814644,0.843421,0.021726,0.833899,0.852943,32.050000,0.825578,31.688175,32.411825,5.950000,0.825578,5.588175,6.311825,8.050000,0.604805,7.784932,8.315068,33.950000,0.604805,33.684932,34.215068,0.500000,20,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2,elastic_net,rank,80,6,5
0.903634,0.010821,0.898891,0.908377,0.932470,0.006874,0.929458,0.935483,0.825625,0.013738,0.819604,0.831646,0.826472,0.013934,0.820365,0.832579,0.829787,0.013162,0.824019,0.835555,0.851354,0.018226,0.843366,0.859341,0.809524,0.015450,0.802753,0.816295,0.843421,0.021726,0.833899,0.852943,32.050000,0.825578,31.688175,32.411825,5.950000,0.825578,5.588175,6.311825,8.000000,0.648886,7.715613,8.284387,34.000000,0.648886,33.715613,34.284387,0.500000,20,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath,elastic_net,rank,80,7,5
0.902788,0.010322,0.898264,0.907312,0.930958,0.006532,0.928095,0.933821,0.821875,0.015641,0.815020,0.828730,0.822588,0.015960,0.815593,0.829583,0.826589,0.014536,0.820218,0.832960,0.845941,0.021033,0.836723,0.855159,0.808333,0.014400,0.802022,0.814644,0.836842,0.025038,0.825869,0.847816,31.800000,0.951453,31.383007,32.216993,6.200000,0.951453,5.783007,6.616993,8.050000,0.604805,7.784932,8.315068,33.950000,0.604805,33.684932,34.215068,0.500000,20,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16,elastic_net,rank,80,8,5
0.902632,0.010422,0.898064,0.907199,0.930799,0.006818,0.927811,0.933787,0.821875,0.015641,0.815020,0.828730,0.822588,0.015960,0.815593,0.829583,0.826589,0.014536,0.820218,0.832960,0.845941,0.021033,0.836723,0.855159,0.808333,0.014400,0.802022,0.814644,0.836842,0.025038,0.825869,0.847816,31.800000,0.951453,31.383007,32.216993,6.200000,0.951453,5.783007,6.616993,8.050000,0.604805,7.784932,8.315068,33.950000,0.604805,33.684932,34.215068,0.500000,20,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1,elastic_net,rank,80,9,5
0.900815,0.010398,0.896258,0.905371,0.930023,0.006707,0.927084,0.932962,0.818125,0.014887,0.811600,0.824650,0.818640,0.015157,0.811997,0.825283,0.823567,0.013924,0.817465,0.829669,0.839611,0.019493,0.831068,0.848154,0.808333,0.014400,0.802022,0.814644,0.828947,0.023382,0.818700,0.839195,31.500000,0.888523,31.110587,31.889413,6.500000,0.888523,6.110587,6.889413,8.050000,0.604805,7.784932,8.315068,33.950000,0.604805,33.684932,34.215068,0.500000,20,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2,elastic_net,rank,80,10,5
0.899843,0.009976,0.895471,0.904216,0.929499,0.006429,0.926681,0.932316,0.813125,0.017897,0.805281,0.820969,0.813440,0.018386,0.805382,0.821498,0.819433,0.016017,0.812413,0.826452,0.832486,0.024874,0.821585,0.843387,0.807143,0.015255,0.800457,0.813829,0.819737,0.031108,0.806103,0.833371,31.150000,1.182103,30.631920,31.668080,6.850000,1.182103,6.331920,7.368080,8.100000,0.640723,7.819191,8.380809,33.900000,0.640723,33.619191,34.180809,0.500000,20,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14,elastic_net,rank,80,11,5
0.897901,0.010133,0.893460,0.902342,0.928301,0.006694,0.925367,0.931234,0.814375,0.015850,0.807428,0.821322,0.814756,0.016106,0.807697,0.821814,0.820363,0.014761,0.813894,0.826832,0.834233,0.019602,0.825642,0.842824,0.807143,0.015255,0.800457,0.813829,0.822368,0.023960,0.811868,0.832869,31.250000,0.910465,30.850971,31.649029,6.750000,0.910465,6.350971,7.149029,8.100000,0.640723,7.819191,8.380809,33.900000,0.640723,33.619191,34.180809,0.500000,20,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk,elastic_net,rank,80,12,5
0.897525,0.009383,0.893413,0.901637,0.928083,0.005995,0.925456,0.930710,0.812500,0.016222,0.805390,0.819610,0.812719,0.016677,0.805410,0.820028,0.819149,0.014282,0.812890,0.825408,0.830508,0.021948,0.820889,0.840127,0.808333,0.012153,0.803007,0.813660,0.817105,0.027633,0.804994,0.829216,31.050000,1.050063,30.589790,31.510210,6.950000,1.050063,6.489790,7.410210,8.050000,0.510418,7.826300,8.273700,33.950000,0.510418,33.726300,34.173700,0.500000,20,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1,elastic_net,rank,80,13,5
0.897525,0.009383,0.893413,0.901637,0.928083,0.005995,0.925456,0.930710,0.812500,0.016222,0.805390,0.819610,0.812719,0.016677,0.805410,0.820028,0.819149,0.014282,0.812890,0.825408,0.830508,0.021948,0.820889,0.840127,0.808333,0.012153,0.803007,0.813660,0.817105,0.027633,0.804994,0.829216,31.050000,1.050063,30.589790,31.510210,6.950000,1.050063,6.489790,7.410210,8.050000,0.510418,7.826300,8.273700,33.950000,0.510418,33.726300,34.173700,0.500000,20,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon,elastic_net,rank,80,14,5
0.896930,0.009101,0.892941,0.900919,0.927572,0.005844,0.925011,0.930134,0.813125,0.017432,0.805485,0.820765,0.813315,0.017835,0.805498,0.821131,0.819857,0.015630,0.813007,0.826707,0.830668,0.022275,0.820906,0.840430,0.809524,0.013380,0.803660,0.815388,0.817105,0.027633,0.804994,0.829216,31.050000,1.050063,30.589790,31.510210,6.950000,1.050063,6.489790,7.410210,8.000000,0.561951,7.753714,8.246286,34.000000,0.561951,33.753714,34.246286,0.500000,20,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2,elastic_net,rank,80,15,5
0.894392,0.008749,0.890558,0.898227,0.925266,0.005777,0.922734,0.927798,0.811250,0.015655,0.804389,0.818111,0.811278,0.016010,0.804261,0.818295,0.818565,0.014090,0.812390,0.824740,0.826830,0.020338,0.817917,0.835744,0.810714,0.014400,0.804403,0.817025,0.811842,0.026002,0.800446,0.823238,30.850000,0.988087,30.416952,31.283048,7.150000,0.988087,6.716952,7.583048,7.950000,0.604805,7.684932,8.215068,34.050000,0.604805,33.784932,34.315068,0.500000,20,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8,elastic_net,rank,80,16,5
0.894173,0.008641,0.890386,0.897960,0.925137,0.005707,0.922636,0.927639,0.811250,0.015655,0.804389,0.818111,0.811278,0.016010,0.804261,0.818295,0.818565,0.014090,0.812390,0.824740,0.826830,0.020338,0.817917,0.835744,0.810714,0.014400,0.804403,0.817025,0.811842,0.026002,0.800446,0.823238,30.850000,0.988087,30.416952,31.283048,7.150000,0.988087,6.716952,7.583048,7.950000,0.604805,7.684932,8.215068,34.050000,0.604805,33.784932,34.315068,0.500000,20,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8;conch_v15,elastic_net,rank,80,17,5
0.894173,0.008641,0.890386,0.897960,0.925137,0.005707,0.922636,0.927639,0.811250,0.015655,0.804389,0.818111,0.811278,0.016010,0.804261,0.818295,0.818565,0.014090,0.812390,0.824740,0.826830,0.020338,0.817917,0.835744,0.810714,0.014400,0.804403,0.817025,0.811842,0.026002,0.800446,0.823238,30.850000,0.988087,30.416952,31.283048,7.150000,0.988087,6.716952,7.583048,7.950000,0.604805,7.684932,8.215068,34.050000,0.604805,33.784932,34.315068,0.500000,20,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8;conch_v15;kaiko-vits16,elastic_net,rank,80,18,5
0.894173,0.008641,0.890386,0.897960,0.925137,0.005707,0.922636,0.927639,0.811250,0.015655,0.804389,0.818111,0.811278,0.016010,0.804261,0.818295,0.818565,0.014090,0.812390,0.824740,0.826830,0.020338,0.817917,0.835744,0.810714,0.014400,0.804403,0.817025,0.811842,0.026002,0.800446,0.823238,30.850000,0.988087,30.416952,31.283048,7.150000,0.988087,6.716952,7.583048,7.950000,0.604805,7.684932,8.215068,34.050000,0.604805,33.784932,34.315068,0.500000,20,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8;conch_v15;kaiko-vits16;kaiko-vitb8,elastic_net,rank,80,19,5
0.893828,0.008645,0.890040,0.897617,0.924797,0.005718,0.922291,0.927303,0.811875,0.015954,0.804883,0.818867,0.811936,0.016337,0.804776,0.819096,0.819065,0.014292,0.812801,0.825329,0.827867,0.020986,0.818669,0.837065,0.810714,0.014400,0.804403,0.817025,0.813158,0.026864,0.801384,0.824932,30.900000,1.020836,30.452599,31.347401,7.100000,1.020836,6.652599,7.547401,7.950000,0.604805,7.684932,8.215068,34.050000,0.604805,33.784932,34.315068,0.500000,20,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8;conch_v15;kaiko-vits16;kaiko-vitb8;resnet50,elastic_net,rank,80,20,5
0.902036,0.008160,0.898460,0.905613,0.926981,0.006416,0.924169,0.929793,0.818750,0.015967,0.811752,0.825748,0.818484,0.016368,0.811310,0.825657,0.826795,0.014446,0.820464,0.833127,0.830343,0.022152,0.820635,0.840052,0.823810,0.019542,0.815245,0.832374,0.813158,0.030665,0.799718,0.826598,30.900000,1.165287,30.389290,31.410710,7.100000,1.165287,6.589290,7.610710,7.400000,0.820783,7.040276,7.759724,34.600000,0.820783,34.240276,34.959724,0.500000,20,21,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath;kaiko-vitb16;uni_v1;virchow2;kaiko-vitl14;musk;conch_v1;phikon;phikon_v2;kaiko-vits8;conch_v15;kaiko-vits16;kaiko-vitb8;resnet50;midnight12k,elastic_net,rank,80,21,5
